name,speciality,average_score,hospital_name,city,state
"Dr. Matthew McCall, MD",Infectious Disease Medicine,4.5,ATLANTA CLINIC,Atlanta,GA
"Dr. James Byrd, MD","Ear, Nose, and Throat",5,Augusta University Medical Center,Augusta,GA
"Dr. Oswaldo Henriquez, MD","Ear, Nose, and Throat",5,Nose and Throat Clinic,Atlanta,GA
"Dr. Steven Marlowe, MD",Infectious Disease Medicine,4,ATLANTA CLINIC,Atlanta,GA
"Dr. James McMillen, MD",Infectious Disease Medicine,5,ATLANTA CLINIC,Atlanta,GA
"Dr. Joel Rosenstock, MD",Infectious Disease Medicine,5,AbsoluteCARE Medical Center,Atlanta,GA
"Dr. Shalini Patel, MD",Infectious Disease Medicine,4.5,AbsoluteCARE Medical Center,Atlanta,GA
"Dr. William Moretz Jr, MD",Neurotology,4.5,Southern Otolaryngology Clinic,Augusta,GA
"Dr. David Terris, MD",Endocrine Surgery,5,Augusta University Medical Center,Augusta,GA
"Dr. Gregory Postma, MD",Laryngology,4,Augusta University Medical Center,Augusta,GA
"Dr. Quintin Robinson, MD",Infectious Disease Medicine,4,AbsoluteCARE Medical Center,Atlanta,GA
"Dr. Drew Prosser, MD","Pediatric Otolaryngology (Ear, Nose & Throat)",5,Augusta University Medical Clinic,Augusta,GA
"Dr. Jack Borders Jr, MD","Pediatric Otolaryngology (Ear, Nose & Throat)",4,Augusta University Medical Clinic,Augusta,GA
"Dr. Habib Rizk, MD",Neurotology,4,MUSC Vestibular Clinic,Charleston,SC
"Dr. Drew Prosser, MD","Pediatric Otolaryngology (Ear, Nose & Throat)",5,Augusta University Medical Clinic,Augusta,GA
"Dr. Molly Eaton, MD",Infectious Disease Medicine,4.5,Emory Clinic,Atlanta,GA
"Dr. Jack Borders Jr, MD","Pediatric Otolaryngology (Ear, Nose & Throat)",4,Augusta University Medical Clinic,Augusta,GA
"Dr. Alan Brill, MD","Ear, Nose, and Throat",3.5,Alan Brill Clinic,Columbia,SC
"Dr. Dhaval Shah, MD",Internal Medicine,5,Peach Clinic,Cumming,GA
"Dr. Robert Kaufmann, MD",Internal Medicine,3.5,Kaufmann Clinic,Atlanta,GA
"Dr. Maria Gongora, MD",Cardiology,0,THE EMORY CLINIC,Atlanta,GA
"Dr. Aneysa Sane, MD",Pulmonology,4,Carilion Clinic,Daleville,VA
"Dr. Gates Hoover, MD",Internal Medicine,5,Carilion Clinic,Salem,VA
"Dr. Orlando Valdez, MD",Pediatrics,3,LITTLE RIVER MEDICAL CENTER,Myrtle Beach,SC
"Dr. Pradeep Ramachandran, MD",Pulmonology,5,Lebauer Pulmonary at Alamance Regional Medical Center,Burlington,NC
"Dr. Umar Sofi, MD",Pulmonology,0,Carilion Clinic,Roanoke,VA
"Dr. Sameh Aziz, MD",Critical Care Medicine,3.5,Carilion Clinic,Roanoke,VA
"Dr. Peter Heymann, MD",Allergy & Immunology,0,University of Virginia Medical Center,Charlottesville,VA
"Dr. Peter Kussin, MD",Pulmonology,2.5,Duke University Hospital,Durham,NC
"Dr. Joseph Govert, MD",Pulmonology,5,DUKE UNIVERSITY MEDICAL CENTER,Durham,NC
"Dr. David Stoltz, MD",Critical Care Medicine,0,UI Hospitals and Clinic,Iowa City,IA
"Dr. Momen Wahidi, MD",Pulmonology,5,Duke Cancer Center,Durham,NC
"Dr. Arvind Perathur, MD",Critical Care Medicine,5,Mercy Internal Medicine Clinic,Mason City,IA
"Dr. Khalil Diab, MD",Critical Care Medicine,0,UNIVERSITY OF IOWA HOSPITALS AND CLINIC,Iowa City,IA
"Dr. Dayna Groskreutz, MD",Critical Care Medicine,3,UI Hospitals and Clinic,Iowa City,IA
"Dr. Steven Harmer, MD",Geriatric Medicine,0,Clarion Specialty Clinic,Clarion,IA
"Dr. Alan Yee, DO",Critical Care Medicine,0,Austin Medical Center,Austin,MN
"Dr. Craig Daniels, MD",Critical Care Medicine,5,MAYO CLINIC,Rochester,MN
"Dr. Jason Golbin, DO",Critical Care Medicine,0,Mayo Clinic Health System,Austin,MN
"Dr. Artur Krupa, MD",Critical Care Medicine,0,Mayo Clinic Health System,Albert Lea,MN
"Dr. Eric Edell, MD",Critical Care Medicine,5,MAYO CLINIC,Rochester,MN
"Dr. Pranav Singh, MD",Pulmonology,5,Mercy Medical Center,Mason City,IA
"Dr. Kaiser Lim, MD",Critical Care Medicine,3,MAYO CLINIC,Rochester,MN
"Dr. Gopi Shah, MD",Cardiology,3.5,Columbia Heart Clinic,Columbia,SC
"Dr. Charles Hendricks, MD",Cardiology,5,Columbia Heart Clinic,Columbia,SC
"Dr. Mark Keegan, MD",Critical Care Medicine,4,MAYO CLINIC,Rochester,MN
"Dr. Mark Wylam, MD",Critical Care Medicine,4,MAYO CLINIC,Rochester,MN
"Dr. Charles Thomas, MD",Critical Care Medicine,5,MAYO CLINIC,Rochester,MN
"Dr. Jay Ryu, MD",Critical Care Medicine,5,MAYO CLINIC,Rochester,MN
"Dr. Karen Swanson, DO",Critical Care Medicine,5,MAYO CLINIC,Rochester,MN
"Dr. Timothy Aksamit, MD",Critical Care Medicine,5,MAYO CLINIC,Rochester,MN
"Dr. John Hagan, MD",Critical Care Medicine,5,MAYO CLINIC,Rochester,MN
"Dr. Alexander Salomon, MD",Internal Medicine,4.5,UVA Clinic,Charlottesville,VA
"Dr. Udaya Prakash, MD",Pulmonology,5,MAYO CLINIC,Rochester,MN
"Dr. Jennifer Mattingley, MD",Pulmonology,0,Albert Lea Medical Center,Albert Lea,MN
"Dr. Andrew Limper, MD",Pulmonology,5,MAYO CLINIC,Rochester,MN
"Dr. Gary Levinson, MD",Pulmonology,1,Mayo Clinic Health System,Albert Lea,MN
"Dr. R Calhoun, MD",Family Medicine,4.5,Forest Lakes Health Center,Charlottesville,VA
"Dr. Katrina Guest, MD",Pulmonology,5,The Iowa Clinic,West Des Moines,IA
"Dr. Gregory Hicklin, MD",Pulmonology,3.5,The Iowa Clinic,West Des Moines,IA
"Dr. Joseph Farmer, MD",Critical Care Medicine,0,MAYO CLINIC,Rochester,MN
"Dr. Clayton Cowl, MD",Pulmonology,5,MAYO CLINIC,Rochester,MN
"Dr. Karina Keogh, MD",Pulmonology,5,MAYO CLINIC,Rochester,MN
"Dr. Ulrich Specks, MD",Pulmonology,5,The Mayo Clinic,Rochester,MN
"Dr. James Utz, MD",Pulmonology,5,MAYO CLINIC,Rochester,MN
"Dr. Thomas Dashiell, MD",Pulmonology,5,HealthEast Saint Joseph's Hospital,Saint Paul,MN
"Dr. Akram Khan, MD",Critical Care Medicine,3,BETHESDA REHABILITATION HOSPITAL,Saint Paul,MN
"Dr. Rwoof Reshi, MD",Critical Care Medicine,0,John Nasseff Neuroscience Specialty Clinic,Saint Paul,MN
"Dr. Craig Schuring, DO",Critical Care Medicine,0,Iowa Methodist Medical Center,Des Moines,IA
"Dr. Andrew Darby, MD",Cardiology,5,University of Virginia Medical Center,Charlottesville,VA
"Dr. Thomas Mulrooney, MD",Pulmonology,5,HealthEast Saint Joseph's Hospital,Saint Paul,MN
"Dr. Kenneth Bilchick, MD",Cardiology,4.5,University of Virginia Medical Center,Charlottesville,VA
"Dr. Lee Kamman, MD",Pulmonology,5,HealthEast Saint Joseph's Hospital,Saint Paul,MN
"Dr. Albert Valente, DO",Internal Medicine,4.5,Springfield Medical Center,Glen Allen,VA
"Dr. Douglas Wayne, MD",Physical Medicine & Rehabilitation,4.5,OrthoVirginia West End Orthopaedic Clinic,Richmond,VA
"Dr. Warren Kirby, MD",Physical Medicine & Rehabilitation,4,OrthoVirginia West End Orthopaedic Clinic,Richmond,VA
"Dr. Judith McKenzie, MD",Internal Medicine,4.5,Memorial Medical Center,Mechanicsville,VA
"Dr. George Moxley, MD",Rheumatology,3,VCU Medical Center,Richmond,VA
"Dr. Mahnaz Momeni, MD",Rheumatology,4,Rheumatology Clinic,Vienna,VA
"Dr. Victoria Shanmugam, MD",Rheumatology,4,GEORGETOWN UNIVERSITY HOSPITAL,Washington,DC
"Dr. Sekwon Jang, MD",Medical Oncology,3.5,Inova Melanoma and Skin Cancer Center,Fairfax,VA
"Dr. Kelly Fitzpatrick, MD",Hematology,5,WASHINGTON CANCER INSTITUTE AT WASHINGTON HOSPITAL,Washington,DC
"Dr. Geoffrey Gibney, MD",Oncology,4.5,Moffitt Cancer Center,Tampa,FL
"Dr. Avani Mohapatra, MD",Medical Oncology,4,WASHINGTON CANCER INSTITUTE AT WASHINGTON HOSPITAL,Washington,DC
"Dr. Joseph Catlett, MD",Hematology,5,Washington Cancer Institute at Washington Hospital,Washington,DC
"Dr. Dennis Priebat, MD",Hematology,4.5,Washington Cancer Institute at Washington Hospital,Washington,DC
"Dr. Mark Carmichael, MD",Hematology,5,WALTER REED ARMY MEDICAL CENTER,Washington,DC
"Dr. Paul Chervenick, MD",Internal Medicine,5,Moffitt Cancer Center,Tampa,FL
"Dr. Aarthi Shenoy, MD",Hematology,5,WASHINGTON CANCER INSTITUTE AT WASHINGTON HOSPITAL,Washington,DC
"Dr. Aiwu He, MD",Medical Oncology,5,Medstar Georgetown University Hospital,Washington,DC
"Dr. Loretta Loftus, MD",Hematology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Jeffrey Lancet, MD",Hematology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Michael Tees, MD",Internal Medicine,0,Moffitt Cancer Center,Tampa,FL
"Dr. Haseeb Rahman, MD",Internal Medicine,5,Mercy Clinic,Tampa,FL
"Dr. Jhanelle Gray, MD",Hematology,4,Moffitt Cancer Center,Tampa,FL
"Dr. Teresa Field, MD",Hematology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Marcie Tomblyn, MD",Hematology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Amit Mahipal, MD",Hematology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Timothy Kubal, MD",Medical Oncology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Hugo Fernandez, MD",Hematology,5,Moffitt Cancer Center,Pembroke Pines,FL
"Dr. Mahesh Bhambore, MD",Internal Medicine,4,Sunstate Medical Clinic,Lutz,FL
"Dr. Rami Komrokji, MD",Hematology,4,Moffitt Cancer Center,Tampa,FL
"Dr. John Tourtelot, MD","Endocrinology, Diabetes & Metabolism",4,Moffitt Cancer Center,Tampa,FL
"Dr. Tracie Leonhardt, DO",Integrative Medicine,4,Peaks of Health Metabolic Medical Center,Largo,FL
"Dr. Eric Haura, MD",Oncology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Frederick Locke, MD",Oncology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Mohamed Kharfan Dabaja, MD",Hematology,3.5,Moffitt Cancer Center,Tampa,FL
"Dr. Michael Jaglal, MD",Medical Oncology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Howard Lilienfeld, MD","Endocrinology, Diabetes & Metabolism",3.5,Moffitt Cancer Center,Tampa,FL
"Dr. Bryan McIver, MD","Endocrinology, Diabetes & Metabolism",4.5,Moffitt Cancer Center,Tampa,FL
"Dr. Yuvraj Kumbkarni, MD","Endocrinology, Diabetes & Metabolism",4,Florida Medical Clinic,Tampa,FL
"Dr. Joseph Caradonna, MD",Gastroenterology,4.5,Florida Medical Clinic,Tampa,FL
"Dr. Roohi Ismail-Khan, MD",Oncology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Rachid Baz, MD",Oncology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Curtis Freedland, DO",Gastroenterology,4,Gulf Coast Medical Center,Port Richey,FL
"Dr. Marian Menezes, MD",Pulmonology,4.5,Florida Medical Clinic,Tampa,FL
"Dr. Martin Britos-Bray, MD",Pulmonology,5,Florida Hospital,Wesley Chapel,FL
"Dr. Sailesh Shah, DO",Pulmonology,4,Florida Medical Clinic,Tampa,FL
"Dr. Ernesto Ayala, MD",Oncology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Scott Antonia, MD",Oncology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Michelle Zetoony, DO",Pulmonology,5,WILLARD ALLEN HUGHES II M FT HARRISON MEDICAL CTR,Clearwater,FL
"Dr. Khaldoun Almhanna, MD",Oncology,4.5,Moffitt Cancer Center,Tampa,FL
"Dr. Melissa Alsina, MD",Hematology,4,Moffitt Cancer Center,Tampa,FL
"Dr. Claudio Anasetti, MD",Oncology,5,Moffitt Cancer Center,Tampa,FL
"Dr. Jose Pascual, MD",Pulmonology,4.5,Gulf Coast Medical Center,Port Richey,FL
"Dr. Lode Swinnen, MD",Hematology,5,Johns Hopkins Medical Center,Baltimore,MD
"Dr. Mohamad Allaf, MD",Urology,5,Johns Hopkins Hospital,Baltimore,MD
"Dr. Charles Packman, MD",Hematology,5,Blumenthal Cancer Center,Charlotte,NC
"Dr. Edward Copelan, MD",Hematology,5,CLEVELAND CLINIC,Cleveland,OH
"Dr. Wyatt Fowler, MD",General Surgery,5,Carolina Surgical Clinic,Charlotte,NC
"Dr. Lalitha Nayak, MD",Hematology,0,UNIVERSITY HOSPITAL,Cleveland,OH
"Dr. Asim Amin, MD",Oncology,4.5,Blumenthal Cancer Center,Charlotte,NC
"Dr. Peter Turk, MD",Complex General Surgical Oncology,3.5,Carolina Surgical Clinic,Charlotte,NC
"Dr. Prateek Mendiratta, MD",Hematology,4,Cleveland Clinic,Beachwood,OH
"Dr. Jason Stern, DO",Hematology,4,Seidman Cancer Center,Mayfield Heights,OH
"Dr. Kris Gaston, MD",Urology,5,CAROLINAS MEDICAL CENTER,Charlotte,NC
"Dr. Elliot Dickman, MD",Hematology,1.5,Seidman Cancer Center,Mayfield Heights,OH
"Dr. Omer Koc, MD",Hematology,4.5,Cleveland Clinic,Beachwood,OH
"Dr. Stanton Gerson, MD",Hematology,5,Chagrin Seidman Cancer Center,Beachwood,OH
"Dr. Nathan Levitan, MD",Hematology,0,Chagrin Seidman Cancer Center,Beachwood,OH
"Dr. Jame Abraham, MD",Medical Oncology,4.5,CLEVELAND CLINIC,Cleveland,OH
"Dr. John Hettiarachchi, DO",Urology,4.5,The Weekend Vasectomy Clinic,Cornelius,NC
"Dr. Bassam Estfan, MD",Oncology,5,Cleveland Clinic,Cleveland,OH
"Dr. Wendy Cornett, MD",Endocrine Surgery,5,GHS Breast Health Center,Greenville,SC
"Dr. Richard Orr, MD",General Surgery,5,Gibbs Cancer Center,Spartanburg,SC
"Dr. James Wallace, MD",Plastic Surgery,2.5,Steadmen Hawkins Clinic,Greenville,SC
"Dr. James Fowler III, MD",Plastic Surgery,4,Steadmen Hawkins Clinic,Greenville,SC
"Dr. Timothy Yeatman, MD",Surgical Oncology,0,Gibbs Cancer Center,Spartanburg,SC
"Dr. Christophe Nguyen, MD",Surgical Oncology,5,Gibbs Cancer Center,Spartanburg,SC
"Dr. Robert Hird, MD",Surgical Oncology,5,Gibbs Cancer Center,Spartanburg,SC
"Dr. Jose Albert Jr, MD",Colon & Rectal Surgery,4,N Hospital,West Columbia,SC
"Dr. Brian Thurston, MD",Critical Care Surgery,5,Spartanburg Medical Center,Spartanburg,SC
"Dr. Keith Webb, MD",Critical Care Surgery,0,GHS Children's Hospital,Greenville,SC
"Dr. Kristine Lombardozzi, MD",Critical Care Surgery,3,Spartanburg Medical Center,Spartanburg,SC
"Dr. Charles Morrow, MD",Critical Care Surgery,5,Spartanburg Medical Center,Spartanburg,SC
"Dr. Keith O'Malley, MD",Critical Care Surgery,5,Augusta University Medical Center,Augusta,GA
"Dr. Mohammed Ziauddin, MD",Breast Surgical Oncology,4.5,Augusta University Medical Center,Augusta,GA
"Dr. Edward Kruse, DO",Surgical Oncology,3,Augusta University Medical Center,Augusta,GA
"Dr. Karen Draper, MD",Surgical Oncology,5,Augusta University Medical Center,Augusta,GA
"Dr. Daniel Albo, MD",Surgical Oncology,5,Augusta University Medical Center,Augusta,GA
"Dr. Michael Houston, MD",Critical Care Surgery,5,Piedmont Surgical Clinic,Concord,NC
"Dr. Malcolm Mathews III, MD",Oncology,2,The Regional Cancer Center,Kingsport,TN
"Dr. Robert Enck, MD",Oncology,2,Regional Cancer Center,Johnson City,TN
"Dr. Martin Palmeri, MD",Oncology,4,Regional Cancer Center,Johnson City,TN
"Dr. Devapiran Jaishankar, MD",Oncology,4.5,Regional Cancer Center,Johnson City,TN
"Dr. Koyamangalath Krishnan, MD",Hematology,3.5,Regional Cancer Center,Johnson City,TN
"Dr. Locke Bryan, MD",Medical Oncology,0,Augusta University Medical Center,Augusta,GA
"Dr. Jeffrey Libbey, MD",General Surgery,4.5,N Hospital,West Columbia,SC
"Dr. Lynnette Schiffern, MD",Critical Care Surgery,5,CAROLINAS MEDICAL CENTER,Charlotte,NC
"Dr. Holly Gallion, MD",Gynecologic Oncology,0,Pikeville Medical Center,Pikeville,KY
"Dr. William Miles, MD",Critical Care Surgery,5,Carolina Medical Center,Charlotte,NC
"Dr. Donette Vicente, MD",Hematology,3.5,Regional Cancer Center,Johnson City,TN
"Dr. Timothy Deeulis, MD",Gynecologic Oncology,5,Saint Marys Outpatient Clinic,Huntington,WV
"Dr. Susan Evans, MD",Critical Care Surgery,0,CAROLINAS MEDICAL CENTER,Charlotte,NC
"Dr. Toan Huynh, MD",Critical Care Surgery,0,Myers Park Surgery Clinic,Charlotte,NC
"Dr. Michael Thomason, MD",Critical Care Surgery,0,Carolina Medical Center,Charlotte,NC
"Dr. David Jacobs, MD",Critical Care Surgery,0,Carolina Medical Center,Charlotte,NC
"Dr. Gamal Mostafa, MD",Critical Care Surgery,2.5,Carolina Medical Center,Charlotte,NC
"Dr. Kevin Lobdell, MD",Critical Care Surgery,0,CAROLINAS MEDICAL CENTER,Charlotte,NC
"Dr. Ronald Sing, MD",Critical Care Surgery,5,Carolina Medical Center,Charlotte,NC
"Dr. Glen Strickland, MD",General Surgery,4,N Hospital,West Columbia,SC
"Dr. Matthew McCarty, MD",Hematology,4,Fort Loudoun Medical Center,Lenoir City,TN
"Dr. Gaurav Sachdev, MD",Critical Care Surgery,0,CAROLINAS MEDICAL CENTER,Charlotte,NC
"Dr. Wenqing Zhang, MD",Hematology,3,Fort Loudoun Medical Center,Lenoir City,TN
"Dr. Christopher Boehlke, MD",Ophthalmology,4,Duke University Medical Center,Durham,NC
"Dr. Mays El-Dairi, MD",Neuro-Ophthalmology,2.5,DUKE MEDICAL CTR,Durham,NC
"Dr. Edward Buckley, MD",Neuro-Ophthalmology,5,DUKE MEDICAL CTR,Durham,NC
"Dr. David Wallace, MD",Pediatric Ophthalmology,5,DUKE MEDICAL CTR,Durham,NC
"Dr. Rose Eapen, MD","Pediatric Otolaryngology (Ear, Nose & Throat)",5,Duke Children's Hospital,Durham,NC
"Dr. Elisabeth Tracy, MD",Pediatric Surgery,0,Duke Children's Hospital,Durham,NC
"Dr. Eileen Raynor, MD","Pediatric Otolaryngology (Ear, Nose & Throat)",4,Duke Children's Hospital,Durham,NC
"Dr. Henry Rice, MD",Pediatric Surgery,0,Duke Children's Hospital,Durham,NC
"Dr. Terry Kim, MD",Ophthalmology,3.5,DUKE UNIVERSITY MEDICAL CENTER,Durham,NC
"Dr. Sulene Chi, MD",Ophthalmic Plastic & Reconstructive Surgery,4.5,DUKES CHILDRENS HOSPITAL AND HEALTH CENTER,Durham,NC
"Dr. Kevin Gertsch, MD",Pediatric Ophthalmology,0,North Georgia Eye Clinic,Gainesville,GA
"Dr. Stephanie Goei, MD",Pediatric Ophthalmology,3.5,Augusta University Medical Center,Augusta,GA
"Dr. Susan Beth Frommeyer, MD",Obstetrics & Gynecology,3.5,Roane Medical Center,Harriman,TN
"Dr. Joe Fenn, MD",Pulmonology,3,Riverside Reg Med Ctr,Newport News,VA
"Dr. Steven Masters, MD",Family Medicine,5,Summit Express Clinic,Knoxville,TN
"Dr. Brian Morise, MD",Family Medicine,5,Summit Express Clinic,Knoxville,TN
"Dr. Angela Meyer, MD",Family Medicine,4,Summit Express Clinic,Knoxville,TN
"Dr. Jason Goldie, MD",Family Medicine,4.5,The Family Health Center,Asheville,NC
